seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
352,-1,11,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
353,-1,11,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
354,-1,11,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
355,-1,11,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
356,11,11,pEqn,exit,22182408231,40000000000,26507192863
357,11,11,after-pEqn,point,20055572111,40000000000,26507192863
358,-1,11,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
359,-1,11,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
360,-1,11,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
361,-1,11,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
362,-1,11,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
363,-1,11,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
364,-1,11,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
365,-1,11,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
366,-1,11,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
367,-1,11,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
368,-1,11,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
369,-1,11,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
370,-1,11,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
371,-1,11,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
372,-1,11,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
373,11,11,after-turb,point,20055572111,40000000000,26507192863
374,11,11,timeStep,exit,20055572111,40000000000,26507192863
